t,theta1,theta2,omega1,omega2,tau1,tau2,alpha1_pred,alpha2_pred
0.274,-0.16608631365013127,0.6803517822608953,-1.7561772861480716,4.1318272781372105,1.0,0.0,-4.334720134735107,9.062210083007812
0.276,-0.16961600710296634,0.6886516856575018,-1.7648467264175418,4.1499516983032265,1.0,0.0,-4.315165042877197,8.968128204345703
0.278,-0.17316296121597294,0.6969874615669256,-1.7734770565032962,4.167887954711918,1.0,0.0,-4.2955121994018555,8.873963356018066
0.28,-0.17672709737777714,0.7053587333297735,-1.7820680809021,4.185635881423954,1.0,0.0,-4.275704383850098,8.77963924407959
0.28200000000000003,-0.18030833635711674,0.7137651236495978,-1.7906194896698,4.203195159912113,1.0,0.0,-4.255693435668945,8.685087203979492
0.28400000000000003,-0.18390659811019902,0.7222062543182379,-1.7991308765411378,4.220565334320072,1.0,0.0,-4.235401153564453,8.590229034423828
0.28600000000000003,-0.18752180146789554,0.7306817459030157,-1.8076016788482667,4.237745792388919,1.0,0.0,-4.2147955894470215,8.495041847229004
0.28800000000000003,-0.19115386400794987,0.7391912176551825,-1.8160312700271608,4.2547358760833776,1.0,0.0,-4.193831920623779,8.399445533752441
0.29,-0.19480270187568668,0.7477342871894842,-1.8244189338684083,4.271534767150882,1.0,0.0,-4.172449588775635,8.303357124328613
0.292,-0.1984682295417786,0.7563105701522833,-1.8327638330459595,4.288141481399539,1.0,0.0,-4.1506195068359375,8.206783294677734
0.294,-0.20215035968589784,0.7649196802482611,-1.8410650720596313,4.304555047988895,1.0,0.0,-4.12830924987793,8.109650611877441
0.296,-0.20584900306701662,0.7735612289466863,-1.8493216905593872,4.32077434921265,1.0,0.0,-4.105474948883057,8.01193904876709
0.298,-0.20956406834793093,0.7822348254013067,-1.8575326404571533,4.336798227310184,1.0,0.0,-4.082095623016357,7.913661003112793
0.3,-0.2132954620113373,0.7909400764999396,-1.865696831703186,4.35262554931641,1.0,0.0,-4.058159351348877,7.814775466918945
0.302,-0.21704308831214908,0.7996765867004401,-1.8738131504058837,4.368255100250248,1.0,0.0,-4.033626079559326,7.715248107910156
0.304,-0.22080684911727907,0.8084439578933722,-1.8818804025650024,4.383685596466068,1.0,0.0,-4.008525371551514,7.615143775939941
