time,theta1,theta2,omega1,omega2,tau1,tau2,bias1,bias2
3.2657251358032227,-0.05515214431714024,0.011583948640417627,-1.7917928338485306e-05,-0.0007409604818876595,0.15280136,0.107700296,0.5123934282911545,0.10681732421425157
3.286465644836426,-0.0551524616360083,0.01157118586573688,-1.3480521472850037e-05,-0.0005381418834265802,0.15276238,0.10771639,0.5124278206918597,0.10684934183109943
3.3072938919067383,-0.055152688463301014,0.011562400294548525,-9.135067028848377e-06,-0.0003421804592906651,0.15273356,0.10769213,0.5124515790570947,0.1068713934443223
3.3278744220733643,-0.055152828511707615,0.011557391290137171,-5.0351517246958455e-06,-0.0001595025805689114,0.15271461,0.1076336,0.5124652312897093,0.10688398089530095
3.3489487171173096,-0.05515288823753335,0.011555842845080284,-1.29837940634773e-06,4.757226707378736e-06,0.15270501,0.10754774,0.5124696150803065,0.10688789505566088
3.370149850845337,-0.055152876220785386,0.011557350725740769,1.9834807515114888e-06,0.00014688956681862143,0.15270373,0.10744143,0.5124658050823326,0.10688414808646814
3.390770196914673,-0.05515280259052468,0.011561449922589801,4.747869330203818e-06,0.0002645138654440959,0.15270987,0.10732124,0.5124550401313274,0.10687390460129666
3.4117980003356934,-0.05515267837610677,0.011567639721558309,6.965198846979451e-06,0.00035643740607271303,0.15272206,0.107193746,0.5124386554769036,0.10685841862856327
3.4324800968170166,-0.05515251501744955,0.011575407509416784,8.622978993338743e-06,0.0004226597449850559,0.15273911,0.10706467,0.5124180194322435,0.10683897434903356
3.4532630443573,-0.055152323902573325,0.011584250060107383,9.734805261594497e-06,0.00046412727035424485,0.15275979,0.106938936,0.5123944769247055,0.10681683252252946
3.47409987449646,-0.05515211588683973,0.011593690607469974,1.0335518088508179e-05,0.00048255098470918387,0.15278262,0.10682101,0.5123693028265344,0.10679318764110507
3.494647264480591,-0.055151901023058246,0.011603293498116592,1.0467152686593678e-05,0.00048034067789449434,0.15280661,0.106714256,0.5123436632842598,0.10676913153192769
3.5157530307769775,-0.05515168830640669,0.011612675483599339,1.018769004119942e-05,0.0004603444393076803,0.15283072,0.1066212,0.5123185857779814,0.1067456248094192
3.5367748737335205,-0.055151485444253946,0.011621512978837125,9.56279924827809e-06,0.00042569768178702197,0.15285403,0.10654346,0.5122949389164152,0.10672347873713954
3.5578110218048096,-0.05515129873326638,0.011629546129466118,8.662810014141827e-06,0.00037965612097109005,0.15287566,0.10648198,0.5122734213057061,0.1067033449355671
3.578397274017334,-0.05515113303657848,0.01163658016550882,7.556576283313208e-06,0.00032548887366325494,0.1528951,0.10643681,0.5122545579672798,0.10668571208002148
3.59907603263855,-0.05515099178014118,0.011642483952501058,6.314253180799124e-06,0.00026630860328637294,0.15291196,0.106407575,0.5122387039418984,0.10667090935072443
3.620244264602661,-0.05515087701491883,0.011647186449474252,4.999886392229776e-06,0.00020502661064647194,0.15292585,0.106393166,0.512226053472661,0.1066591154096299
3.6407675743103027,-0.05515078952871034,0.011650671406522742,3.672545052219894e-06,0.0001442250623175732,0.15293661,0.10639221,0.5122166541675943,0.10665037157866551
3.6612977981567383,-0.05515072899362029,0.01165297066206746,2.3825949301474522e-06,8.614179234028736e-05,0.15294439,0.10640279,0.5122104248219502,0.10664459870531266
3.6823322772979736,-0.0551506940827448,0.011654156199958896,1.1768968753565893e-06,3.256563982219809e-05,0.15294921,0.10642319,0.5122071761167045,0.10664161679963627
3.70287823677063,-0.0551506826937687,0.011654332332330848,8.626626033628259e-08,-1.5055310938771473e-05,0.15295136,0.10645116,0.5122066317731824,0.10664116497706996
3.7239012718200684,-0.055150692120881556,0.011653627549767766,-8.613542115258403e-07,-5.574327239628782e-05,0.15295103,0.10648463,0.5122084504651538,0.10664292153261411
3.744922399520874,-0.05515071921205207,0.011652185992938912,-1.6489968549056527e-06,-8.890872067711099e-05,0.15294865,0.10652178,0.5122122480548457,0.1066465254764129
3.7654995918273926,-0.055150760596848154,0.011650160449117078,-2.270771636663532e-06,-0.00011427696115674136,0.1529445,0.10656046,0.5122176170507812,0.10665159417874338
3.7865824699401855,-0.055150812799211434,0.011647705153817162,-2.7222683822334487e-06,-0.0001319755314102108,0.15293899,0.10659932,0.5122241454604839,0.1066577411322534
3.807443380355835,-0.055150872423266155,0.011644970011247206,-3.013382947841819e-06,-0.00014231591920833858,0.15293252,0.10663653,0.5122314325470466,0.10666459086420325
3.8280935287475586,-0.0551509362249309,0.011642095318547657,-3.149789558682564e-06,-0.00014594601519900022,0.15292543,0.10667122,0.5122391027748394,0.10667179162570789
3.8491170406341553,-0.05515100124499385,0.01163920778344055,-3.1511370981734074e-06,-0.00014358562813410734,0.15291819,0.106702246,0.5122468165085489,0.10667902593555957
3.8699193000793457,-0.055151064877719216,0.011636417865585462,-3.032837643416903e-06,-0.00013614130091132534,0.15291092,0.10672892,0.5122542775579635,0.10668601680431146
3.8907129764556885,-0.05515112489871396,0.01163381731114167,-2.815586930418189e-06,-0.0001245843387061103,0.1529041,0.10675114,0.5122612392300367,0.10669253416088169
3.911306619644165,-0.0551511795682281,0.01163147908316743,-2.5248624045280257e-06,-0.00010982937455847913,0.15289772,0.10676799,0.5122675055975281,0.10669839518240098
3.9319751262664795,-0.055151227509627504,0.011629456015281526,-2.172684780865408e-06,-9.297304996991928e-05,0.15289208,0.1067803,0.5122729338079758,0.1067034670056105
3.9531493186950684,-0.055151267818291515,0.011627781950185932,-1.789580195656872e-06,-7.483209172660831e-05,0.15288725,0.106787704,0.512277431847322,0.10670766488509242
3.9741921424865723,-0.055151300012177704,0.011626473474614341,-1.3888938786828631e-06,-5.6312749026927246e-05,0.15288335,0.10679073,0.5122809544695077,0.10671094694393002
3.9949350357055664,-0.05515132393987045,0.01162553066227565,-9.88484700422777e-07,-3.816679331310122e-05,0.1528804,0.10679007,0.512283499939729,0.10671331282047689
4.01564359664917,-0.0551513398338517,0.011624940358110231,-6.07437321744386e-07,-2.0970817465740587e-05,0.15287834,0.10678575,0.5122851027168271,0.10671479547820607
4.0363311767578125,-0.05515134814807442,0.011624677556272117,-2.5051373897677483e-07,-5.330181267211532e-06,0.15287712,0.10677888,0.5122858286411739,0.10671545722643828
4.057355880737305,-0.0551513495726273,0.011624708007390025,6.617916480682875e-08,8.427459140699208e-06,0.15287668,0.1067699,0.5122857682658584,0.10671538391501403
4.078506708145142,-0.05515134500338568,0.01162499148021319,3.370605479245818e-07,2.0033471220391703e-05,0.15287694,0.10675938,0.5122850290266532,0.10671467627567059
4.099532604217529,-0.055151335417130715,0.011625483443690455,5.594475327984594e-07,2.9326107640273563e-05,0.15287787,0.10674805,0.5122837296339753,0.10671344582987519
4.120233535766602,-0.055151321853369344,0.01162613759607191,7.301022378830458e-07,3.62884574216081e-05,0.15287927,0.10673628,0.5122819937176306,0.10671180862247819
4.141067743301392,-0.05515130534740906,0.011626907685070015,8.517074624374334e-07,4.094460700674702e-05,0.152881,0.10672472,0.5122799448138035,0.1067098804627258
